entrez_id	symbol_id	dependency_column	qc_pass
51554	ACKR4	ACKR4 (51554)	False
47	ACLY	ACLY (47)	True
130013	ACMSD	ACMSD (130013)	False
48	ACO1	ACO1 (48)	False
50	ACO2	ACO2 (50)	True
730249	ACOD1	ACOD1 (730249)	False
641371	ACOT1	ACOT1 (641371)	False
26027	ACOT11	ACOT11 (26027)	False
134526	ACOT12	ACOT12 (134526)	False
55856	ACOT13	ACOT13 (55856)	False
10965	ACOT2	ACOT2 (10965)	False
122970	ACOT4	ACOT4 (122970)	False
641372	ACOT6	ACOT6 (641372)	False
11332	ACOT7	ACOT7 (11332)	False
10005	ACOT8	ACOT8 (10005)	False
23597	ACOT9	ACOT9 (23597)	False
51	ACOX1	ACOX1 (51)	True
8309	ACOX2	ACOX2 (8309)	False
8310	ACOX3	ACOX3 (8310)	False
55289	ACOXL	ACOXL (55289)	False
52	ACP1	ACP1 (52)	False
53	ACP2	ACP2 (53)	False
55	ACP3	ACP3 (55)	False
93650	ACP4	ACP4 (93650)	False
54	ACP5	ACP5 (54)	False
51205	ACP6	ACP6 (51205)	False
390928	ACP7	ACP7 (390928)	False
49	ACR	ACR (49)	False
84519	ACRBP	ACRBP (84519)	False
56	ACRV1	ACRV1 (56)	False
23205	ACSBG1	ACSBG1 (23205)	False
81616	ACSBG2	ACSBG2 (81616)	False
80221	ACSF2	ACSF2 (80221)	False
197322	ACSF3	ACSF3 (197322)	False
2180	ACSL1	ACSL1 (2180)	False
2181	ACSL3	ACSL3 (2181)	True
2182	ACSL4	ACSL4 (2182)	False
51703	ACSL5	ACSL5 (51703)	False
23305	ACSL6	ACSL6 (23305)	False
116285	ACSM1	ACSM1 (116285)	False
123876	ACSM2A	ACSM2A (123876)	False
348158	ACSM2B	ACSM2B (348158)	False
6296	ACSM3	ACSM3 (6296)	False
341392	ACSM4	ACSM4 (341392)	False
54988	ACSM5	ACSM5 (54988)	False
142827	ACSM6	ACSM6 (142827)	False
84532	ACSS1	ACSS1 (84532)	False
55902	ACSS2	ACSS2 (55902)	False
79611	ACSS3	ACSS3 (79611)	False
58	ACTA1	ACTA1 (58)	False
59	ACTA2	ACTA2 (59)	False
60	ACTB	ACTB (60)	True
345651	ACTBL2	ACTBL2 (345651)	False
70	ACTC1	ACTC1 (70)	False
71	ACTG1	ACTG1 (71)	False
72	ACTG2	ACTG2 (72)	False
170487	ACTL10	ACTL10 (170487)	False
86	ACTL6A	ACTL6A (86)	True
51412	ACTL6B	ACTL6B (51412)	False
10881	ACTL7A	ACTL7A (10881)	False
10880	ACTL7B	ACTL7B (10880)	False
81569	ACTL8	ACTL8 (81569)	False
284382	ACTL9	ACTL9 (284382)	False
284325	ACTMAP	ACTMAP (284325)	False
87	ACTN1	ACTN1 (87)	False
88	ACTN2	ACTN2 (88)	False
81	ACTN4	ACTN4 (81)	False
55860	ACTR10	ACTR10 (55860)	True
10121	ACTR1A	ACTR1A (10121)	True
10120	ACTR1B	ACTR1B (10120)	False
10097	ACTR2	ACTR2 (10097)	True
10096	ACTR3	ACTR3 (10096)	True
57180	ACTR3B	ACTR3B (57180)	False
653857	ACTR3C	ACTR3C (653857)	False
79913	ACTR5	ACTR5 (79913)	True
64431	ACTR6	ACTR6 (64431)	True
93973	ACTR8	ACTR8 (93973)	True
139741	ACTRT1	ACTRT1 (139741)	False
140625	ACTRT2	ACTRT2 (140625)	False
84517	ACTRT3	ACTRT3 (84517)	False
90	ACVR1	ACVR1 (90)	False
91	ACVR1B	ACVR1B (91)	True
130399	ACVR1C	ACVR1C (130399)	False
92	ACVR2A	ACVR2A (92)	False
93	ACVR2B	ACVR2B (93)	False
94	ACVRL1	ACVRL1 (94)	False
95	ACY1	ACY1 (95)	False
91703	ACY3	ACY3 (91703)	False
97	ACYP1	ACYP1 (97)	False
98	ACYP2	ACYP2 (98)	False
100	ADA	ADA (100)	False
51816	ADA2	ADA2 (51816)	False
132612	ADAD1	ADAD1 (132612)	False
161931	ADAD2	ADAD2 (161931)	False
161823	ADAL	ADAL (161823)	False
102	ADAM10	ADAM10 (102)	False
4185	ADAM11	ADAM11 (4185)	False
8038	ADAM12	ADAM12 (8038)	False
8751	ADAM15	ADAM15 (8751)	False
6868	ADAM17	ADAM17 (6868)	False
8749	ADAM18	ADAM18 (8749)	False
8728	ADAM19	ADAM19 (8728)	False
2515	ADAM2	ADAM2 (2515)	False
8748	ADAM20	ADAM20 (8748)	False
8747	ADAM21	ADAM21 (8747)	False
53616	ADAM22	ADAM22 (53616)	False
8745	ADAM23	ADAM23 (8745)	False
10863	ADAM28	ADAM28 (10863)	False
11086	ADAM29	ADAM29 (11086)	False
11085	ADAM30	ADAM30 (11085)	False
203102	ADAM32	ADAM32 (203102)	False
80332	ADAM33	ADAM33 (80332)	False
8756	ADAM7	ADAM7 (8756)	False
101	ADAM8	ADAM8 (101)	False
8754	ADAM9	ADAM9 (8754)	False
27299	ADAMDEC1	ADAMDEC1 (27299)	False
9510	ADAMTS1	ADAMTS1 (9510)	False
81794	ADAMTS10	ADAMTS10 (81794)	False
81792	ADAMTS12	ADAMTS12 (81792)	False
11093	ADAMTS13	ADAMTS13 (11093)	False
140766	ADAMTS14	ADAMTS14 (140766)	False
170689	ADAMTS15	ADAMTS15 (170689)	False
170690	ADAMTS16	ADAMTS16 (170690)	False
170691	ADAMTS17	ADAMTS17 (170691)	False
170692	ADAMTS18	ADAMTS18 (170692)	False
171019	ADAMTS19	ADAMTS19 (171019)	False
9509	ADAMTS2	ADAMTS2 (9509)	False
80070	ADAMTS20	ADAMTS20 (80070)	False
9508	ADAMTS3	ADAMTS3 (9508)	False
9507	ADAMTS4	ADAMTS4 (9507)	False
11096	ADAMTS5	ADAMTS5 (11096)	False
11174	ADAMTS6	ADAMTS6 (11174)	False
11173	ADAMTS7	ADAMTS7 (11173)	False
11095	ADAMTS8	ADAMTS8 (11095)	False
56999	ADAMTS9	ADAMTS9 (56999)	False
92949	ADAMTSL1	ADAMTSL1 (92949)	False
9719	ADAMTSL2	ADAMTSL2 (9719)	False
57188	ADAMTSL3	ADAMTSL3 (57188)	False
54507	ADAMTSL4	ADAMTSL4 (54507)	False
339366	ADAMTSL5	ADAMTSL5 (339366)	False
11033	ADAP1	ADAP1 (11033)	False
55803	ADAP2	ADAP2 (55803)	False
103	ADAR	ADAR (103)	True
104	ADARB1	ADARB1 (104)	False
105	ADARB2	ADARB2 (105)	False
23536	ADAT1	ADAT1 (23536)	False
134637	ADAT2	ADAT2 (134637)	True
113179	ADAT3	ADAT3 (113179)	False
57143	ADCK1	ADCK1 (57143)	False
90956	ADCK2	ADCK2 (90956)	False
203054	ADCK5	ADCK5 (203054)	False
107	ADCY1	ADCY1 (107)	False
55811	ADCY10	ADCY10 (55811)	False
108	ADCY2	ADCY2 (108)	False
109	ADCY3	ADCY3 (109)	False
196883	ADCY4	ADCY4 (196883)	False
111	ADCY5	ADCY5 (111)	False
112	ADCY6	ADCY6 (112)	False
113	ADCY7	ADCY7 (113)	False
114	ADCY8	ADCY8 (114)	False
115	ADCY9	ADCY9 (115)	False
116	ADCYAP1	ADCYAP1 (116)	False
117	ADCYAP1R1	ADCYAP1R1 (117)	False
118	ADD1	ADD1 (118)	False
119	ADD2	ADD2 (119)	False
120	ADD3	ADD3 (120)	False
84435	ADGRA1	ADGRA1 (84435)	False
25960	ADGRA2	ADGRA2 (25960)	False
166647	ADGRA3	ADGRA3 (166647)	False
575	ADGRB1	ADGRB1 (575)	False
576	ADGRB2	ADGRB2 (576)	False
577	ADGRB3	ADGRB3 (577)	False
