ModelID,0,1,2,3,4,5,6,7,8,9
ACH-000559,0.80862343,-0.8546361,-0.10701394,0.08003865,0.2280102,0.8801762,0.87222356,-1.1703099,-1.4524468,0.61214936
ACH-001196,-1.4711055,-0.19194587,0.5920748,-0.71325225,-0.8519841,3.0356488,0.80291605,0.2124321,0.33660507,1.769919
ACH-000323,0.8058364,-0.030053113,0.05786936,-0.87364584,-0.5306665,-0.14594805,1.4849312,0.011276772,0.7519056,0.7975331
ACH-002508,-1.1447694,1.29542,-1.169004,0.66859615,-0.265262,0.88157773,-0.0124951005,1.7650676,1.0716584,0.3968509
ACH-000645,0.27691543,-0.5231534,-0.8542618,-1.1257122,1.4318327,-1.0845524,1.3046279,0.2670852,0.11166811,-1.0949562
ACH-001656,-0.9691632,0.097694695,1.7301165,1.9566671,1.0555043,-0.4161943,1.3572117,-1.4790758,-0.036666885,-1.785347
ACH-001645,-0.023070544,-0.8083969,-0.5374976,-0.5060415,1.9205496,-0.9515018,1.4645582,-0.58317083,-0.650029,1.4620103
ACH-000164,0.28983992,0.29858065,0.6493335,-0.558634,-0.45246804,-0.89750266,0.022411227,0.22508013,0.10071034,-0.599418
ACH-000035,-1.229542,-0.13435711,-0.12576865,-1.0268254,-2.0051496,-0.25070944,0.30461457,-0.53229916,-0.6752136,0.8031366
ACH-000187,-0.49586642,-1.1695273,1.3735722,0.14372405,0.40399525,-1.4879088,-1.0729227,-1.1191303,-1.5831027,-0.74495393
ACH-001654,-0.7499589,1.2452385,-0.25324506,-0.69544685,1.3525884,-0.35809636,0.15485576,-0.95524645,0.34238073,0.6815134
ACH-000735,-1.6453761,1.9755294,-0.3607927,0.47002286,0.62839174,-0.06399598,-0.77182364,-0.32578108,0.05547156,0.8701312
ACH-000178,-1.2970285,1.5920448,0.17788547,0.7589492,-0.12047124,-0.08091725,0.32024345,-1.177303,1.0309801,-0.47710854
ACH-000153,-1.1069779,-0.028289124,-1.2372748,-1.1808541,0.24596044,-0.5671397,0.6834208,-0.5134462,0.16372833,0.4903838
ACH-001020,0.6224256,-1.4187253,-0.23175207,0.007666759,-1.0101144,2.0418165,0.22236235,-0.23500401,0.060754552,0.47973788
