0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
ABT1,4.942376e-08,-0.003116952,-0.0036196753,0.06699781,0.03486496,0.054052074,0.040971186,-0.06285235,-0.01175631,0.015713671,0.05012588,0.10161259,-0.014130027,-0.007801929,-0.053320434,-0.10119656,-0.077640794,-0.038463473,0.08942545,0.03917312,0.020192275,0.04301184,-0.031420372,-0.002604935,-0.015577932,-0.017929573,0.074212626,0.018280093,0.056693032,-0.010028646,0.027432699,0.055643894,-0.03211392,0.054185543,0.04788363,-0.029979536,0.030395709,-0.033796113,0.07127683,0.03761121,0.057863723,0.04797951,-0.016132643,-0.020565005,-0.09521303,0.064346254,-0.006754233,-0.04349068,0.0073805894,-0.004943884,0.011075007,0.04274351,0.051210858,0.0799605,-0.03188758,0.02848698
ACACA,-0.056634672,-0.07664548,-0.020318503,-0.06555168,-0.10971451,-0.06861601,0.013236138,-0.0014764057,0.017366253,0.02198382,0.033240102,-0.11733354,-0.018907549,0.03775939,-0.053506512,0.057090886,0.008732637,-0.0072918735,-0.08564704,-0.084926665,-0.04572064,-0.027408877,0.018554213,0.008230446,-0.04914225,-0.01058798,-0.071422875,-0.032251086,-0.07840553,-0.0052834675,-0.01998291,-0.023847304,-0.04107436,0.054707587,-0.01999473,-0.031670887,-0.0071660867,-0.04195975,0.026288083,-0.08989857,-0.008763173,-0.034229424,-0.0576336,-0.044415325,-0.017573655,-0.10767166,0.0086167045,-0.08519876,0.057229422,-0.024254603,0.0097913,0.04746729,-0.052740492,-0.06786285,-0.035418805,-0.037539415
ACAD9,0.033980772,-0.029111935,-0.009208135,-0.0023012592,0.0068802233,0.05700519,0.09801793,-0.027471159,-0.046634845,0.05160158,0.0023237474,0.021043641,0.011529804,0.02828333,0.06192434,-0.03985643,-0.025601763,-0.035448935,-0.06768744,-0.074180156,-0.0010522476,0.12567902,0.04040965,0.057934705,0.031632163,-0.01938148,0.009993858,0.054238934,-0.036020685,0.0004219019,-0.001563262,0.04466309,-0.0044497033,-0.0014579641,0.00055249035,0.13565288,-0.048161466,-0.012257406,-0.021737685,-0.025087457,-0.047540057,0.03919084,0.004847014,-0.029600242,-0.085289255,0.018372646,-0.048752014,-0.01678854,0.1062322,-0.017431555,0.045619812,0.117172234,0.013732663,0.13004644,-0.08196982,0.006132176
ACAP2,0.0023407107,-0.074513115,0.052697066,0.07109221,0.0366591,-0.033585694,-0.11533943,0.008441395,0.06365295,-0.035849858,0.02523103,-0.039711144,-0.09161908,0.053669356,0.04793403,-0.05125328,0.06945224,0.02681131,-0.057709057,0.038926307,-0.01935869,-0.039654326,-0.0012298793,0.07326105,-0.0506965,0.05156595,0.051865567,0.026674794,0.008922881,-0.004341203,0.0416725,-0.009233345,0.044307914,-0.025887184,0.013327439,0.059981186,0.008319957,0.0017621304,0.023215428,-0.085768335,0.052620027,-0.01953662,0.03973686,0.015532215,-0.024807503,0.033876058,-0.04179642,0.01806576,-0.009811579,0.048721142,-0.0313846,0.035393927,0.006302735,-0.027770959,0.007753183,0.15660016
ACD,0.11159164,0.014881481,0.01710395,0.012436286,0.08329299,0.011780508,0.030770048,0.050890412,-0.039783098,0.003442445,0.052109048,0.13192154,-0.027083803,0.009990211,0.09806286,-0.018998722,0.0291436,-0.064899705,0.06311208,0.04878182,0.014931561,-0.010091114,-0.015927773,0.06254227,0.009658022,0.050147377,0.089051016,0.054829188,0.055708904,0.055364255,0.1267302,0.05589293,0.0050837346,0.044276502,0.03689615,0.06634166,0.035633907,-0.0054479367,0.18551528,0.02831886,-0.059002776,0.063858815,0.017988548,0.0070575764,0.05665313,0.054052565,0.054063734,0.12509479,0.07490339,-0.040193416,0.0024854995,0.009341091,-0.017659515,0.02827248,0.10997614,0.020468827
ACIN1,0.030287553,-0.03749165,0.028126929,-0.008340091,-0.022550352,-0.06268289,-0.04691762,0.018679589,0.10157809,0.039680514,0.041024577,0.022854744,0.03273618,0.10943634,-0.021695,0.021825204,0.025489576,0.018823719,0.0056121615,0.08039916,-0.04917188,0.010773229,-0.03517135,-0.012116665,-0.08756228,-0.022562074,-0.056266315,0.021467695,0.011244864,0.008219192,-0.017247116,-0.06934653,0.025573004,-0.0027165671,-0.033986,0.012130619,0.004017991,0.080036186,-0.025480818,0.032521237,-0.04777235,-0.039396074,-0.018252747,0.1102632,-0.005508866,-0.05555282,-0.025089432,-0.052025948,0.0034368106,-0.048623417,0.07088516,-0.014818048,-0.03626912,-0.0016994125,0.018007578,0.023185583
ACLY,0.0012255376,-0.046691615,0.010398973,-0.074816115,-0.10552845,0.022383008,0.044088986,-0.043046523,0.0966155,0.06054911,0.013045761,-0.037870876,0.06498911,0.0222058,-0.10870661,0.024472337,-0.013162691,0.001672543,-0.052879106,-0.06723564,0.0009870796,0.021288875,0.0141982185,-0.08630759,0.07321417,0.033075806,-0.060946908,0.09911129,-0.061288603,0.060192738,-0.03184388,-0.06256529,0.0304516,0.09996773,0.012845359,-0.028073248,0.06536548,-1.1288401e-05,-0.044342645,-0.02614903,-0.04454135,-0.03946704,-0.08202777,0.008649208,0.011287558,-0.01660679,-0.054701004,-0.0566271,0.05822798,0.034096394,-0.0025676098,-0.03008663,-0.006464022,0.00837847,-0.0753109,0.021291781
ACO2,-0.010112538,0.12403736,0.092785425,0.0021043762,0.017931826,-0.04375416,0.040369425,0.08145542,-0.03228812,-0.016571376,0.047952235,-0.024022972,0.0014516572,0.07418483,0.036878217,-0.060491074,-0.08905119,-0.010310214,0.04068506,-0.009755607,-0.0019113756,0.07168794,0.03132393,0.021008074,0.061022915,0.028665742,0.0427843,0.0031785388,0.01114807,-0.08022133,-0.03153105,0.020877106,0.07248858,-0.022683524,0.044797633,0.039270848,0.03476932,-0.030364687,-0.021165324,0.056900725,-0.044264022,0.062761575,-0.055144675,-0.008991274,0.030510457,0.0584439,0.013622267,0.038154434,0.072291896,0.038449865,0.022476252,0.025885966,0.073706105,-0.10569611,0.01285583,-0.13267134
ACOX1,-0.06793142,-0.03929917,-0.03412879,-0.0034444758,0.0018334051,-0.091081336,-0.06831642,-0.013719589,0.0046261335,-0.014902565,0.004325364,-0.0057668085,-0.04860424,-0.03113301,-0.0691509,-0.01715776,-0.07502804,0.08472105,0.039190825,-0.02898813,0.026098264,-0.049307317,0.013443647,-0.04048214,-0.07530509,-0.09640988,0.013799483,-0.025886273,-0.03263927,-0.09178902,-0.023445608,-0.027872736,-0.02414894,-0.05852479,0.02097939,0.018074997,-0.00881059,0.0075097457,-0.04000941,-0.074401826,-0.06481106,-0.096187726,-0.074925505,-0.0493678,-0.012474466,0.024510778,0.007833787,0.013872031,-0.090238534,0.001161894,-0.05800644,-0.09236329,-0.035716668,-0.057425,0.038982384,0.05086607
ACSL3,0.023566613,-0.045234095,-0.02076591,0.040460404,-0.060113657,0.00237788,-0.034141015,0.037129115,-0.029143034,-0.068120725,-0.023672916,0.043221176,-0.026318833,-0.009669132,-0.00429956,0.022051655,-0.02982284,0.0388331,-0.038350567,0.028281733,0.051375553,-0.065097295,-0.03302463,0.030021792,-0.003325888,-0.046655666,0.07216654,0.042234316,0.038274527,-0.09385194,-0.007936335,-0.032586727,0.06366209,-0.055539016,-0.015938625,0.0015357806,0.01757161,0.014899836,-0.047732826,-0.020198215,-0.07449773,-0.03701183,-0.007430217,0.022173632,-0.038459986,-0.03910401,0.016585499,-0.08528169,0.07252109,-0.038846325,-0.076244116,0.0048432574,0.02849384,-0.025799505,-0.047297265,0.044269003
